Episode,Title,Author_Last,Author_Init,Duration,MP3_URL,Transcript_URL,Topics
479,"1 Samuel 30-31",Heiser,MS,43:54,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-479.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-479.pdf,1 samuel
478,"1 Samuel 29",Heiser,MS,43:43,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-478.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-478.pdf,1 samuel
477,"1 Samuel 28",Heiser,MS,42:43,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-477.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-477.pdf,1 samuel
476,"1 Samuel 27",Heiser,MS,43:32,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-476.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-476.pdf,1 samuel
475,"1 Samuel 26",Heiser,MS,30:47,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-475.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-475.pdf,1 samuel
474,"1 Samuel 25",Heiser,MS,40:21,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-474.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-474.pdf,1 samuel
473,"1 Samuel 24",Heiser,MS,1:01:10,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-473.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-473.pdf,1 samuel
472,"1 Samuel 23",Heiser,MS,35:23,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-472.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-472.pdf,1 samuel
471,"1 Samuel 22",Heiser,MS,25:22,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-471.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-471.pdf,1 samuel
470,"1 Samuel 21",Heiser,MS,33:06,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-470.mp3,https://nakedbiblepodcast
469,"1 Samuel 20",Heiser,MS,30:12,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-469.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-469.pdf,1 samuel
468,Miqlat,Heiser,MS,32:09,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-468.mp3,N/A,miqlat
467,"1 Samuel 19",Heiser,MS,23:07,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-467.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-467.pdf,1 samuel
466,"1 Samuel 18",Heiser,MS,28:20,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-466.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-466.pdf,1 samuel
465,"1 Samuel 17",Heiser,MS,31:48,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-465.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-465.pdf,1 samuel
464,"1 Samuel 16",Heiser,MS,1:06:46,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-464.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-464.pdf,1 samuel
463,"1 Samuel 15",Heiser,MS,36:19,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-463.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-463.pdf,1 samuel
462,"Honoring Dr. Michael S. Heiser Part 4",Heiser,MS,1:06:16,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-462.mp3,N/A,honoring dr michael s heiser
461,"Honoring Dr. Michael S. Heiser Part 3",Heiser,MS,1:05:35,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-461.mp3,N/A,honoring dr michael s heiser
460,"Honoring Dr. Michael S. Heiser Part 2",Heiser,MS,1:23:11,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-460.mp3,N/A,honoring dr michael s heiser
459,"Honoring Dr. Michael S. Heiser",Heiser,MS,1:47:21,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-459.mp3,N/A,honoring dr michael s heiser
458,"1 Samuel 13-14",Heiser,MS,1:04:26,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-458.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-458.pdf,1 samuel
457,"1 Samuel 12",Heiser,MS,34:35,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-457.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-457.pdf,1 samuel
456,"1 Samuel 11",Heiser,MS,48:41,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-456.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-456.pdf,1 samuel
455,"1 Samuel 8-10 Part 2",Heiser,MS,52:02,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-455.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-455.pdf,1 samuel
454,"1 Samuel 8-10 Part 1",Heiser,MS,35:17,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-454.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-454.pdf,1 samuel
453,"1 Samuel 7",Heiser,MS,51:28,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-453.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-453.pdf,1 samuel
452,"Counterfeit Kingdom",Heiser,MS,1:24:39,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-452.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-452.pdf,counterfeit kingdom
451,"1 Samuel 5-6",Heiser,MS,38:46,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-451.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-451.pdf,1 samuel
450,"1 Samuel 4",Heiser,MS,36:27,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-450.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-450.pdf,1 samuel
449,"1 Samuel 3",Heiser,MS,30:26,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-449.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-449.pdf,1 samuel
448,"1 Samuel 2:12-36",Heiser,MS,36:57,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-448.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-448.pdf,1 samuel
447,"1 Samuel 1:1-2:11",Heiser,MS,40:37,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-447.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-447.pdf,1 samuel
446,"1 Samuel Introduction",Heiser,MS,34:19,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-446.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/09/Naked-Bible-446.pdf,1 samuel introduction
445,"Q&A 57",Heiser,MS,31:05,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-445.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-445.pdf,q&a
444,"Q&A 56",Heiser,MS,46:16,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-444.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-444.pdf,q&a
443,"Jude Q&A Part 2",Heiser,MS,39:08,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-443.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-443.pdf,jude q&a
442,"Jude Q&A Part 1",Heiser,MS,43:29,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-442.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-442.pdf,jude q&a
441,"The Afterlife Part 2",Heiser,MS,52:19,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-441.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-441.pdf,afterlife
440,"The Afterlife Part 1",Heiser,MS,55:32,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-440.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-440.pdf,afterlife
439,"The Epistle of Jude Part 8",Heiser,MS,51:08,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-439.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-439.pdf,epistle of jude
438,"The Epistle of Jude Part 7",Heiser,MS,38:29,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-438.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-438.pdf,epistle of jude
437,"The Epistle of Jude Part 6",Heiser,MS,40:34,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-437.mp3,https://nakedbiblepodcast.com/wp-content/uploads/2023/08/Naked-Bible-437.pdf,epistle of jude
