Host,Title,Teacher,Duration,Audio URL,Transcript URL,Keywords,Edit
Bry,Jesus Identity,Wright,0:27,https://www.youtube.com/watch?v=zdUM0ZB5zT0,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/1,Jesus theology,Edit
Bry,Paul Theology,Wright,0:29,https://www.youtube.com/watch?v=wIxWFBE7Djs,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/2,Paul faith,Edit
Bry,Resurrection Evidence,Wright,0:31,https://www.youtube.com/watch?v=GenlGUkZ-6Q,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/3,resurrection history,Edit
Bry,Evil Suffering,Wright,0:35,https://www.youtube.com/watch?v=BWNKp3jYyRo,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/4,evil theodicy,Edit
Bry,Heaven Hell,Wright,0:33,https://www.youtube.com/watch?v=5fDpYD-ZWL8,N/A (Manual Copy),afterlife heaven,Edit
Bry,Prayer Habits,Wright,0:22,https://www.youtube.com/watch?v=qKwIijhZW-M,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/6,prayer doubt,Edit
Bry,Trinity Baptism,Wright,0:28,https://www.youtube.com/watch?v=SaxLDzYCLIM,N/A (Manual Copy),Trinity doctrine,Edit
Bry,Faith Sharing,Wright,0:26,https://www.youtube.com/watch?v=zYN6hW7qZVQ,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/8,evangelism interfaith,Edit
Bry,Bible Translation,Wright,0:25,https://www.youtube.com/watch?v=wpreSe8BKP8,N/A (Manual Copy),translation scripture,Edit
Bry,OT History,Wright,0:28,https://www.youtube.com/watch?v=qiJCXrJfcxM,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/10,OT metaphor,Edit
Bry,Genesis Fall,Wright,0:36,https://www.youtube.com/watch?v=UP98WvySTH8,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/11,Genesis fall,Edit
Bry,Christmas Life,Wright,0:22,https://www.youtube.com/watch?v=ER3y4C71fCo,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/12,biography music,Edit
Bry,Singleness Yoked,Wright,0:32,https://www.youtube.com/watch?v=qwNfH_SOWKA,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/13,dating relationships,Edit
Bry,Pastor Decon,Wright,0:30,https://www.youtube.com/watch?v=wXcSJVW8rg4,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/14,deconstruction sin,Edit
Bry,Church Unity,Wright,0:26,https://www.youtube.com/watch?v=1xvt6AMaBow,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/15,unity worship,Edit
Bry,Sexual Ethics,Wright,0:30,https://www.youtube.com/watch?v=2y5z3KqL4pQ,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/16,sexuality ethics,Edit
Bry,Divine Council,Wright,0:29,https://www.youtube.com/watch?v=3z8fG5hJ7kM,https://www.musixmatch.com/podcast/Ask-N-T-Wright-Anything/17,divine council,Edit
