"Series","Number","Title","Video URL","Transcript URL"
"Joel_Richardson_Daniel",1,"Daniel Introduction: Overview & Context","https://www.youtube.com/watch?v=JR_Daniel_intro","N/A"
"Joel_Richardson_Daniel",2,"Daniel 1: The King's Food","https://www.youtube.com/watch?v=JR_Daniel1","N/A"
"Joel_Richardson_Daniel",3,"Daniel 2: Nebuchadnezzar's Dream","https://www.youtube.com/watch?v=JR_Daniel2","N/A"
"Joel_Richardson_Daniel",4,"Daniel 3: The Fiery Furnace","https://www.youtube.com/watch?v=JR_Daniel3","N/A"
"Joel_Richardson_Daniel",5,"Daniel 4: The King's Humbling","https://www.youtube.com/watch?v=JR_Daniel4","N/A"
"Joel_Richardson_Daniel",6,"Daniel 5: The Writing on the Wall","https://www.youtube.com/watch?v=JR_Daniel5","N/A"
"Joel_Richardson_Daniel",7,"Daniel 6: The Lions' Den","https://www.youtube.com/watch?v=JR_Daniel6","N/A"
"Joel_Richardson_Daniel",8,"Daniel 7: The Four Beasts","https://www.youtube.com/watch?v=JR_Daniel7","N/A"
"Joel_Richardson_Daniel",9,"Daniel 8: Ram and Goat","https://www.youtube.com/watch?v=S7XlMB3y_n8","N/A"
"Joel_Richardson_Daniel",10,"Daniel 9: The 70 Weeks","https://www.youtube.com/watch?v=Gu8w1TYMWwU","N/A"
"Joel_Richardson_Daniel",11,"Daniel 10-12: Visions of the End","https://www.youtube.com/watch?v=7qt9r5i-r_k","N/A"
"Joel_Richardson_Daniel",12,"Daniel and End Times Summary","https://www.youtube.com/watch?v=HfOCtkk8zAA","N/A"
