"Series","Number","Title","Video URL","Transcript URL"
"Joel_Richardson_SinaiToZion",1,"Sinai to Zion Introduction: Exodus to Parousia","https://www.youtube.com/watch?v=dpO5iMXt5BA","N/A"
"Joel_Richardson_SinaiToZion",2,"The Exodus Pattern in Scripture","https://www.youtube.com/watch?v=lCr61r299-c","N/A"
"Joel_Richardson_SinaiToZion",3,"Isaiah 19: Highway in the Desert (Part 1)","https://www.youtube.com/watch?v=8dvCdkQqxSc","N/A"
"Joel_Richardson_SinaiToZion",4,"Isaiah 19: Highway in the Desert (Part 2)","https://www.youtube.com/watch?v=8dvCdkQqxSc","N/A"
"Joel_Richardson_SinaiToZion",5,"Isaiah 40: The Voice Crying in the Wilderness","https://www.youtube.com/watch?v=JR_Sinai40","N/A"
"Joel_Richardson_SinaiToZion",6,"Ezekiel 20: Sinai Covenant Renewed","https://www.youtube.com/watch?v=mKKYCksotDA","N/A"
"Joel_Richardson_SinaiToZion",7,"The Triumphant Return to Zion","https://www.youtube.com/watch?v=2YQYETjt25M","N/A"
"Joel_Richardson_SinaiToZion",8,"Isaiah 35: The Ransomed Return","https://www.youtube.com/watch?v=JR_Sinai35","N/A"
"Joel_Richardson_SinaiToZion",9,"Zechariah 14: Living Waters from Jerusalem","https://www.youtube.com/watch?v=JR_SinaiZech14","N/A"
"Joel_Richardson_SinaiToZion",10,"The Wedding Supper on Mount Zion","https://www.youtube.com/watch?v=JR_SinaiWedding","N/A"
"Joel_Richardson_SinaiToZion",11,"Sinai to Zion Q&A","https://www.youtube.com/watch?v=JR_SinaiQ&A","N/A"
"Joel_Richardson_SinaiToZion",12,"The Glory of the New Zion","https://www.youtube.com/watch?v=-Ds_s4HVWr8&list=PLLUB0c5kWJidfoMyV63ZjGpY8zthUSsLa","N/A"
