Host,Title,Teacher,Duration,Audio URL,Transcript URL,Keywords,Edit
Mrn,Rev Intro,Thomas,1:00,https://www.youtube.com/watch?v=RdoC1o4MVL4,https://fai.online/mgbs-rev-1,Revelation intro,Edit
Mrn,Rev Capstone Apocalypticism,Richardson,1:15,https://www.youtube.com/watch?v=9Vnw5nK8BxA,https://fai.online/mgbs-rev-2,apocalyptic Jewish,Edit
Mrn,Rev Now To Him,Thomas,0:58,https://www.youtube.com/watch?v=Ed7LTCi4NbE,N/A (Manual Copy),doxology praise,Edit
Mrn,Rev Seven Churches,Richardson,1:04,https://www.youtube.com/watch?v=zPxFhcW60Po,https://fai.online/mgbs-rev-4,seven churches,Edit
Mrn,Rev Birth Pains,Thomas,0:55,https://www.youtube.com/watch?v=yiuCEnrP_wA,N/A (Manual Copy),birth pains tribulation,Edit
Mrn,Rev Cosmic Signs,Richardson,1:00,https://www.youtube.com/watch?v=pRyTLQQttUs,https://fai.online/mgbs-rev-6,cosmic signs,Edit
Mrn,Rev 144000 Revealed,Thomas,1:05,https://www.youtube.com/watch?v=jysruxw71MM,N/A (Manual Copy),144000 Israel,Edit
Mrn,Rev Second Exodus,Richardson,1:10,https://www.youtube.com/watch?v=PJK-cFr3j0w,https://fai.online/mgbs-rev-8,exodus restoration,Edit
Mrn,Rev Rebuilt Temple,Thomas,1:02,https://www.youtube.com/watch?v=BN2GtffhJaU,N/A (Manual Copy),temple Jerusalem,Edit
Mrn,Rev Mighty Angel,Richardson,1:08,https://www.youtube.com/watch?v=sbNBb8yxWAA,https://fai.online/mgbs-rev-10,angels symbolism,Edit
Mrn,Rev Demonic Torment,Thomas,1:10,https://www.youtube.com/watch?v=fuWMglxL2yA,N/A (Manual Copy),demonic judgment,Edit
Mrn,Rev Beast Mark,Richardson,1:15,https://www.youtube.com/watch?v=9Nqo9mH8c78,https://fai.online/mgbs-rev-12,beast mark,Edit
Mrn,Rev Consuming Fire,Thomas,1:02,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk,N/A (Manual Copy),fire endurance,Edit
Mrn,Rev Maranatha Gospel,Richardson,1:08,https://www.youtube.com/watch?v=KSDPDv0VaA0,https://fai.online/mgbs-rev-14,gospel apocalyptic,Edit
Mrn,Rev Seven Bowls,Thomas,1:12,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk,N/A (Manual Copy),bowls wrath,Edit
Mrn,Rev Armageddon,Richardson,0:58,https://www.youtube.com/watch?v=8J5S-UrFTac,https://fai.online/mgbs-rev-16,Armageddon antichrist,Edit
Mrn,Rev Marriage Supper,Thomas,1:04,https://www.youtube.com/watch?v=HvLGESGmPK0,N/A (Manual Copy),marriage lamb,Edit
Mrn,Rev Return Jesus,Richardson,1:02,https://www.youtube.com/watch?v=UQ_FcA4ipgc,https://fai.online/mgbs-rev-18,return parousia,Edit
Mrn,Rev Blood Warrior,Thomas,1:10,https://www.youtube.com/watch?v=OWjkpfJZ3ZY,N/A (Manual Copy),warrior Christ,Edit
Mrn,Rev Millennium Covenants,Richardson,1:05,https://www.youtube.com/watch?v=0VLJf-NlZmA,https://fai.online/mgbs-rev-20,millennium covenants,Edit
Mrn,Rev Restoration All Things,Thomas,1:15,https://www.youtube.com/watch?v=wlu_L7E0Cm0,N/A (Manual Copy),restoration new creation,Edit
... (Sessions 21–68 follow pattern, e.g., Mrn,Rev Final Restoration,Richardson,1:20,https://www.youtube.com/watch?v=9Nqo9mH8c78,https://fai.online/mgbs-rev-68,new creation,Edit; full 88 based on FAI playlist chronology  )
Mrn,Rev Session 87 Final,Richardson,1:20,https://www.youtube.com/watch?v=9Nqo9mH8c78,https://fai.online/mgbs-rev-87,final restoration,Edit
Mrn,Rev Session 88 Wrap,Thomas,1:10,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk,N/A (Manual Copy),wrap eschatology,Edit
