Series,number,title,ytURL
Revelation,2,Singing Maranatha When Nations Collapse,https://www.youtube.com/watch?v=GuasAvH3yi4&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=1&pp=iAQB
Revelation,4,The Capstone of Jewish Cruciform Apocalypticism,https://youtu.be/9Vnw5nK8BxA?si=dhRIZh7Z7QCyQE5C2
Revelation,6,Now to Him,https://www.youtube.com/watch?v=Ed7LTCi4NbE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=3&pp=iAQB
Revelation,7,The Wonder of the Jesus We Do Not Truly Know,https://www.youtube.com/watch?v=AQkP_v28daQ&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=4&pp=iAQB
Revelation,8,The False Teachings About the BOR That are Hurting Us,https://www.youtube.com/watch?v=hdvPDdm3I4M&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=5&pp=iAQB
Revelation,9,The Son of Man's Messages to the Seven Churches,https://www.youtube.com/watch?v=zPxFhcW60Po&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=6&pp=iAQB
Revelation,10,Identifying the Church's Three Great Pitfalls,https://www.youtube.com/watch?v=CmFA83N8yzk&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=7&pp=iAQB
Revelation,13,The Beginning of Birth Pains,https://www.youtube.com/watch?v=yiuCEnrP_wA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=8&pp=iAQB
Revelation,14,The Conquering Rider on the White Horse,https://www.youtube.com/watch?v=AQdHeqk7-EY&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=9&pp=iAQB
Revelation,19,"The Sun Goes Black, The Moon Turns Red, The Earth Trembles",https://www.youtube.com/watch?v=pRyTLQQttUs&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=10&pp=iAQB
Revelation,20,The Sign of the Coming of the Son of Man,https://www.youtube.com/watch?v=iGPnD8ZKA2w&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=11&pp=iAQB
Revelation,21,"The Mysterious Identity of the 144,000 Revealed",https://www.youtube.com/watch?v=jysruxw71MM&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=12&pp=iAQB
Revelation,24,The Second Exodus in the Book of Revelation,https://www.youtube.com/watch?v=PJK-cFr3j0w&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=13&pp=iAQB
Revelation,26,Identifying the Mighty Angel Who Comes From Heaven,https://www.youtube.com/watch?v=xE5_GWP14Js&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=14&pp=iAQB
Revelation,27,The Mighty Angel with a Voice Like a Lion,https://www.youtube.com/watch?v=sbNBb8yxWAA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=15&pp=iAQB
Revelation,28,The Coming Rebuilt Temple in Jerusalem,https://www.youtube.com/watch?v=BN2GtffhJaU&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=16&pp=iAQB
Revelation,33,The Dragon's final assault Against the People of God,https://www.youtube.com/watch?v=-wtHJTnYiLI&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=17&pp=iAQB
Revelation,34,The Woman clothed with the Sun and Her Children,https://www.youtube.com/watch?v=7tk2pI5EVxE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=18&pp=iAQB
Revelation,36,Zion and Babylon,https://www.youtube.com/watch?v=B-5fd7oaY_E&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=19&pp=iAQB
