Host,Title,Teacher,Duration,Audio URL,Transcript URL,Keywords,Edit
Mrn,Daniel Intro,Richardson,1:00,https://www.youtube.com/watch?v=6K2XLA-66hY,https://fai.online/mgbs-daniel-1,Daniel prophecy,Edit
Mrn,Daniel Beasts,Thomas,1:05,https://www.youtube.com/watch?v=9ifs4kGli0g,N/A (Manual Copy),beasts end times,Edit
Mrn,Daniel Prayer,Richardson,0:55,https://www.youtube.com/watch?v=225uGs3DS0M,https://fai.online/mgbs-daniel-3,prayer 70 weeks,Edit
Mrn,Daniel Antichrist,Thomas,1:10,https://www.youtube.com/watch?v=T9z1PuTjNYY,N/A (Manual Copy),antichrist fringe,Edit
Mrn,Daniel Roadmap,Richardson,0:50,https://www.youtube.com/watch?v=NniBmJrGuRk,https://fai.online/mgbs-daniel-5,roadmap revelation,Edit
Mrn,Daniel Restrainer,Thomas,1:02,https://www.youtube.com/watch?v=IqjrId5WLjM,N/A (Manual Copy),restrainer Michael,Edit
Mrn,Daniel Visions,Richardson,1:08,https://www.youtube.com/watch?v=fuWMglxL2yA,https://fai.online/mgbs-daniel-7,visions eschatology,Edit
Mrn,Daniel 70 Weeks,Thomas,0:58,https://www.youtube.com/watch?v=KSDPDv0VaA0,N/A (Manual Copy),70 weeks prophecy,Edit
Mrn,Daniel Son Man,Richardson,1:03,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk,https://fai.online/mgbs-daniel-9,son man,Edit
Mrn,Daniel Kings,Thomas,1:12,https://www.youtube.com/watch?v=9Nqo9mH8c78,N/A (Manual Copy),kings north south,Edit
Mrn,Daniel Abomination,Richardson,0:47,https://www.youtube.com/watch?v=RdoC1o4MVL4,https://fai.online/mgbs-daniel-11,abomination desolation,Edit
Mrn,Daniel Resurrection,Thomas,1:15,https://www.youtube.com/watch?v=jysruxw71MM,N/A (Manual Copy),resurrection end times,Edit
