Series,number,title,ytURL
Revelation,2,Singing Maranatha When Nations Collapse,https://www.youtube.com/watch?v=GuasAvH3yi4&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=1&pp=iAQB
Revelation,4,The Capstone of Jewish Cruciform Apocalypticism,https://youtu.be/9Vnw5nK8BxA?si=dhRIZhZ7QCyQE5C2
Revelation,6,Now to Him,https://www.youtube.com/watch?v=Ed7LTCi4NbE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=3&pp=iAQB
Revelation,7,The Wonder of the Jesus We Do Not Truly Know,https://www.youtube.com/watch?v=AQkP_v28daQ&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=4&pp=iAQB
Revelation,8,The False Teachings About the BOR That are Hurting Us,https://www.youtube.com/watch?v=hdvPDdm3I4M&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=5&pp=iAQB
Revelation,9,The Son of Man's Messages to the Seven Churches,https://www.youtube.com/watch?v=zPxFhcW60Po&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=6&pp=iAQB
Revelation,10,Identifying the Church's Three Great Pitfalls,https://www.youtube.com/watch?v=CmFA83N8yzk&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=7&pp=iAQB
Revelation,13,The Beginning of Birth Pains,https://www.youtube.com/watch?v=yiuCEnrP_wA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=8&pp=iAQB
Revelation,14,The Conquering Rider on the White Horse,https://www.youtube.com/watch?v=AQdHeqk7-EY&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=9&pp=iAQB
Revelation,19,"The Sun Goes Black, The Moon Turns Red, The Earth Trembles",https://www.youtube.com/watch?v=pRyTLQQttUs&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=10&pp=iAQB
Revelation,20,The Sign of the Coming of the Son of Man,https://www.youtube.com/watch?v=iGPnD8ZKA2w&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=11&pp=iAQB
Revelation,21,"The Mysterious Identity of the 144,000 Revealed",https://www.youtube.com/watch?v=jysruxw71MM&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=12&pp=iAQB
Revelation,24,The Second Exodus in the Book of Revelation,https://www.youtube.com/watch?v=PJK-cFr3j0w&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=13&pp=iAQB
Revelation,26,Identifying the Mighty Angel Who Comes From Heaven,https://www.youtube.com/watch?v=xE5_GWP14Js&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=14&pp=iAQB
Revelation,27,The Mighty Angel with a Voice Like a Lion,https://www.youtube.com/watch?v=sbNBb8yxWAA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=15&pp=iAQB
Revelation,28,The Coming Rebuilt Temple in Jerusalem,https://www.youtube.com/watch?v=BN2GtffhJaU&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=16&pp=iAQB
Revelation,33,The Dragon's final assault Against the People of God,https://www.youtube.com/watch?v=-wtHJTnYiLI&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=17&pp=iAQB
Revelation,34,The Woman clothed with the Sun and Her Children,https://www.youtube.com/watch?v=7tk2pI5EVxE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=18&pp=iAQB
Revelation,36,Zion and Babylon,https://www.youtube.com/watch?v=B-5fd7oaY_E&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=19&pp=iAQB
Revelation,38,The Antichrist and the Beast from Genesis to Revelation,https://www.youtube.com/watch?v=l8lw_7c7NDY&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=20&pp=iAQB
Revelation,39,The Fourth Beast in Daniel and Revelation,https://www.youtube.com/watch?v=pnBcEH35fdA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=21&pp=iAQB
Revelation,40,The Fatal Head Wound of the Beast,https://www.youtube.com/watch?v=Tskix2NNhoE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=22&pp=iAQB
Revelation,42,"The False Prophet, the Great Deception, and the Apostasy",https://www.youtube.com/watch?v=ePBXb7Zz7QA&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=23&pp=iAQB
Revelation,43,"The Number, Name, Mark, and Image of the Beast",https://www.youtube.com/watch?v=9Nqo9mH8c78&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=24&pp=iAQB
Revelation,44,The Consuming Fire and the Endurance of the Saints,https://www.youtube.com/watch?v=5Z4F9Pd_Qjk&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=25&pp=iAQB
Revelation,49,The Seven Bowls of Wrath and the Sea of Glass,https://www.youtube.com/watch?v=4ocuRXAdycs&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=26&pp=iAQB
Revelation,50,We are Not Appointed for Wrath,https://www.youtube.com/watch?v=58BdkHKsTnE&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=27&pp=iAQB
Revelation,51,Mystery Babylon the Great,https://www.youtube.com/watch?v=S5AINa65Xug&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=28&pp=iAQB
Revelation,52,Babylon the Great Has Fallen,https://www.youtube.com/watch?v=EJDA6sS874s&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=29&pp=iAQB
Revelation,53,Pharmakeia - Sorcery in the Last Days,https://www.youtube.com/watch?v=Rk9BAQ7bDwQ&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=30&pp=iAQB
Revelation,54,Is Rome the Great Harlot?,https://www.youtube.com/watch?v=SeVrrVGtuRU&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=31&pp=iAQB
Revelation,55,Do not be a Nimrod,https://www.youtube.com/watch?v=nK_jFOFtYXI&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=32&pp=iAQB
Revelation,56,Debunking a Jewish Antichrist,https://www.youtube.com/watch?v=S3YksPBmFBw&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=33&pp=iAQB
Revelation,57,Jerusalem the Bride & Babylon the Great Harlot,https://www.youtube.com/watch?v=IIY9DLi6vVw&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=34&pp=iAQB
Revelation,58,Debunking Jerusalem as the Great Harlot,https://www.youtube.com/watch?v=vP4KLJ6QkIg&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=35&pp=iAQB
Revelation,59,Is the United States Mystery Babylon?,https://www.youtube.com/watch?v=FqLcUg0L1xw&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=36&pp=iAQB
Revelation,60,Is the Illuminati or the New World Order the Great Harlot?,https://www.youtube.com/watch?v=L_0Vlyy0zC8&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=37&pp=iAQB
Revelation,61,Babylon Rising?,https://www.youtube.com/watch?v=CdxTUMVlKYI&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=38&pp=iAQB
Revelation,62,The Great City,https://www.youtube.com/watch?v=sEl2el4XsLo&list=PLZ_QEG0Ojk80glLb-z4weGRpvDa6bygeq&index=39&pp=iAQB
