Host,Title,Teacher,Duration,Audio URL,Transcript URL,Keywords,Edit
FAI,End Time Welcome,Richardson,0:08,https://www.youtube.com/watch?v=PfObAw24zqc,https://fai.online/end-times-1,end times intro,Edit
FAI,Mark Beast What Is,Thomas,0:10,https://www.youtube.com/watch?v=1lvOWZBb_Jw,N/A (Manual Copy),mark beast,Edit
FAI,Rapture Endurance Saints,Richardson,1:00,https://www.youtube.com/watch?v=9ifs4kGli0g,https://fai.online/end-times-3,rapture endurance,Edit
FAI,Northern War Ukraine,Thomas,0:55,https://www.youtube.com/watch?v=NniBmJrGuRk,N/A (Manual Copy),northern war,Edit
FAI,New Middle East,Richardson,0:50,https://www.youtube.com/watch?v=T9z1PuTjNYY,https://fai.online/end-times-5,Middle East,Edit
FAI,End Age Reasons,Thomas,0:45,https://www.youtube.com/watch?v=225uGs3DS0M,N/A (Manual Copy),end age reasons,Edit
FAI,FAI Vision 10 Years,Richardson,1:02,https://www.youtube.com/watch?v=e6CIa_3_0eA,https://fai.online/end-times-7,vision missions,Edit
FAI,Rosh Russia Chief,Thomas,0:48,https://www.youtube.com/watch?v=IqjrId5WLjM,N/A (Manual Copy),Rosh Russia,Edit
FAI,Islamic Eschatology Revelation,Richardson,1:05,https://www.youtube.com/watch?v=3DzUyWmj98I,https://fai.online/end-times-9,Islamic eschatology,Edit
FAI,Praise Reject Pity,Thomas,0:28,https://www.youtube.com/watch?v=pnLcajoSo-I,N/A (Manual Copy),praise self pity,Edit
FAI,FAI Update Dec 2023,Richardson,0:12,https://www.youtube.com/watch?v=STCrpXdZVg8,https://fai.online/end-times-11,FAI update,Edit
FAI,Reasons Studying End Age,Thomas,0:10,https://www.youtube.com/watch?v=225uGs3DS0M,N/A (Manual Copy),studying end age,Edit
FAI,End Time Talks Antichrist,Richardson,0:15,https://www.youtube.com/watch?v=T9z1PuTjNYY,https://fai.online/end-times-13,antichrist talks,Edit
FAI,End Time Rapture Views,Thomas,0:52,https://www.youtube.com/watch?v=9ifs4kGli0g,N/A (Manual Copy),rapture views,Edit
FAI,End Time Final Wrap,Richardson,0:20,https://www.youtube.com/watch?v=PfObAw24zqc,https://fai.online/end-times-15,final wrap,Edit
