Priority,Category,Author,Title,Subtitle,Why Essential,Amazon ASIN,Paperback Link,Kindle Link,Hardback Link,Estimated Price

1,Systematic Theology,Grudem Wayne,Systematic Theology,An Introduction to Biblical Doctrine,THE standard evangelical systematic theology text used in virtually every Bible college,0310286700,https://www.amazon.com/dp/0310286700,https://www.amazon.com/dp/B003XRELGM,https://www.amazon.com/dp/0310517850,$60

2,New Testament Studies,Carson D.A. & Moo Douglas,An Introduction to the New Testament,,THE standard evangelical NT introduction - absolutely essential,0310519969,https://www.amazon.com/dp/0310519969,https://www.amazon.com/dp/B003XRELED,,,$55

3,Old Testament Studies,Longman Tremper & Dillard Raymond,An Introduction to the Old Testament,,Standard OT introduction - complements Carson/Moo for NT,0310263417,https://www.amazon.com/dp/0310263417,https://www.amazon.com/dp/B004GNEC2E,,,$50

4,Biblical Theology,Beale G.K.,A New Testament Biblical Theology,The Unfolding of the Old Testament in the New,Comprehensive NT biblical theology - essential for serious study,0801026970,https://www.amazon.com/dp/0801026970,https://www.amazon.com/dp/B00BJU97S4,https://www.amazon.com/dp/0801098297,$55

5,Biblical Theology,Schreiner Thomas,The King in His Beauty,A Biblical Theology of the Old and New Testaments,Whole-Bible biblical theology - highly regarded,0801097673,https://www.amazon.com/dp/0801097673,https://www.amazon.com/dp/B01MXIQB9G,,,$50

6,Hermeneutics,Fee Gordon & Stuart Douglas,How to Read the Bible for All Its Worth,,THE standard introduction to biblical interpretation - must-have,0310517826,https://www.amazon.com/dp/0310517826,https://www.amazon.com/dp/B004XRELSQ,,,$25

7,Church History,González Justo,The Story of Christianity Vol 1,The Early Church to the Dawn of the Reformation,Standard church history text - fills major gap,0061855898,https://www.amazon.com/dp/0061855898,,https://www.amazon.com/dp/006185588X,$35

8,Church History,González Justo,The Story of Christianity Vol 2,The Reformation to the Present Day,Standard church history text - completes the survey,0061855901,https://www.amazon.com/dp/0061855901,,https://www.amazon.com/dp/0061855898,$35

9,Old Testament Studies,Waltke Bruce,An Old Testament Theology,An Exegetical Canonical and Thematic Approach,Major OT theology by leading scholar,0310218977,https://www.amazon.com/dp/0310218977,https://www.amazon.com/dp/B004IEA8MA,,,$60

10,Systematic Theology,Erickson Millard,Christian Theology,Third Edition,Alternative to Grudem - more academic approach,0801036437,https://www.amazon.com/dp/0801036437,https://www.amazon.com/dp/B00ATOQAPM,,,$55

11,New Testament Studies,Blomberg Craig,A Handbook of New Testament Exegesis,,Essential guide to NT exegesis methodology,0801027756,https://www.amazon.com/dp/0801027756,,,,$35

12,Biblical Theology,Vos Geerhardus,Biblical Theology,Old and New Testaments,Foundational work in biblical theology,0851513719,https://www.amazon.com/dp/0851513719,,,,$40

13,Biblical Theology,Goldsworthy Graeme,According to Plan,The Unfolding Revelation of God in the Bible,Accessible introduction to biblical theology,0830826963,https://www.amazon.com/dp/0830826963,https://www.amazon.com/dp/B004IK9E2E,,,$25

14,New Testament Studies,Bauckham Richard,Jesus and the Eyewitnesses,The Gospels as Eyewitness Testimony,Groundbreaking work on Gospel reliability,0802874312,https://www.amazon.com/dp/0802874312,https://www.amazon.com/dp/B004EBT91G,,,$40

15,New Testament Studies,Köstenberger Andreas & Goswell Gregory,Biblical Theology,A Canonical Thematic and Ethical Approach,Comprehensive biblical theology covering all 66 books,1433569698,https://www.amazon.com/dp/1433569698,https://www.amazon.com/dp/B0D63PFPTV,https://www.amazon.com/dp/1433569671,$60

