AuthorLast,AuthorInit,Title,Subtitle,CoverLink,TOCLink,AmazonHardback,AmazonPaperback,AmazonKindle



The IVP Bible Dictionary Series 8 volume set






Van De Mieroop,M,A History of Ancient Egypt.(Blackwell History of the Ancient World). A thorough introduction to the formation of the Egyptian state between the years of 3400 B.C. and 2686 B.C. A thorough introduction to the formation of the Egyptian state between the years of 3400 B.C. and 2686 B.C. with an exploration of the end of the Old Kingdom and First Intermediate period, from 2345 B.C. to 2055 B.C. An analysis of the Second Intermediate Period and the Hyksos between 1700 B.C. and 1550 B.C., and discussion of Greek and Roman Egypt between 332 B.C. and A.D. 395.,1119620872,978-1119620877 P,B08TQLDDKQ,9781119620891 K


Van De Mieroop,M,A History of the Ancient Near East ca. 3000 - 323 BC (Blackwell History of the Ancient World) 4th ed. This volume brings the history up to date with revelations from newly published cuneiform tablets and recent archaeological excavations.It covers the origins of the first cities in Mesopotamia, the growth of the Babylonian and Hittite kingdoms, and the rise of the Assyrian and Persian empires.,1394210221,9781394210220 P,B0DGDL9B3N, 9781394210244 K

