Priority,Category,Author,Title,Subtitle,Why Essential,Amazon ASIN,Paperback Link,Kindle Link,Hardback Link,Estimated Price
1,Systematic Theology,Grudem Wayne,Systematic Theology,An Introduction to Biblical Doctrine,THE standard evangelical systematic theology - absolutely essential for comprehensive doctrine,0310286700,https://www.amazon.com/dp/0310286700?tag=themissiontod-20,https://www.amazon.com/dp/B003XRELGM?tag=themissiontod-20,https://www.amazon.com/dp/0310517850?tag=themissiontod-20,$60
2,Systematic Theology,Erickson Millard J.,Christian Theology,Third Edition,Academic systematic theology - more scholarly than Grudem,0801036437,https://www.amazon.com/dp/0801036437?tag=themissiontod-20,https://www.amazon.com/dp/B00ATOQAPM?tag=themissiontod-20,,$55
3,Hermeneutics,Fee Gordon D. & Stuart Douglas,How to Read the Bible for All Its Worth,Fourth Edition,THE essential introduction to biblical interpretation - must-have,0310517826,https://www.amazon.com/dp/0310517826?tag=themissiontod-20,https://www.amazon.com/dp/B004XRELSQ?tag=themissiontod-20,,$25
4,Missiology,Allen Roland,Missionary Methods: St. Paul's or Ours?,,Classic work on biblical missionary methods - essential reading,0802818269,https://www.amazon.com/dp/0802818269?tag=themissiontod-20,https://www.amazon.com/dp/B07KGZFHKK?tag=themissiontod-20,,$18
5,Missiology,Garrison David,Church Planting Movements,How God Is Redeeming a Lost World,Groundbreaking study of disciple-making movements worldwide,1880043314,https://www.amazon.com/dp/1880043314?tag=themissiontod-20,,,$25
6,Hermeneutics,Osborne Grant R.,The Hermeneutical Spiral,A Comprehensive Introduction to Biblical Interpretation,Advanced hermeneutics textbook - seminary standard,0830828265,https://www.amazon.com/dp/0830828265?tag=themissiontod-20,https://www.amazon.com/dp/B00CUMCMRE?tag=themissiontod-20,,$50
7,Missiology,Hiebert Paul G.,Anthropological Insights for Missionaries,,Essential cultural anthropology for cross-cultural ministry,0801044677,https://www.amazon.com/dp/0801044677?tag=themissiontod-20,,,$30
8,Systematic Theology,Berkhof Louis,Systematic Theology,,Classic Reformed systematic theology - comprehensive and clear,0851513689,https://www.amazon.com/dp/0851513689?tag=themissiontod-20,https://www.amazon.com/dp/B07DVKHB33?tag=themissiontod-20,,$45
9,Missiology,Richardson Don,Peace Child,,Classic missionary biography - contextualization in action,0764200178,https://www.amazon.com/dp/0764200178?tag=themissiontod-20,https://www.amazon.com/dp/B003YL4LY0?tag=themissiontod-20,,$16
10,Missiology,Richardson Don,Eternity in Their Hearts,Startling Evidence of Belief in the One True God in Hundreds of Cultures,Demonstrates God's preparation of peoples for the Gospel,0764215175,https://www.amazon.com/dp/0764215175?tag=themissiontod-20,https://www.amazon.com/dp/B003YL4LSW?tag=themissiontod-20,,$16
11,Hermeneutics,Klein William W. & Blomberg Craig L. & Hubbard Robert L.,Introduction to Biblical Interpretation,Third Edition,Comprehensive hermeneutics textbook combining theory and practice,0310524555,https://www.amazon.com/dp/0310524555?tag=themissiontod-20,https://www.amazon.com/dp/B00DDUZ7E4?tag=themissiontod-20,,$50
12,Missiology,Johnstone Patrick & Mandryk Jason,Operation World,The Definitive Prayer Guide to Every Nation,Essential reference for understanding global missions - prayer guide,0830874046,https://www.amazon.com/dp/0830874046?tag=themissiontod-20,,,$30
13,Missiology,Newbigin Lesslie,The Gospel in a Pluralist Society,,Theological foundation for mission in pluralistic contexts,0802804268,https://www.amazon.com/dp/0802804268?tag=themissiontod-20,https://www.amazon.com/dp/B00GGUWWJG?tag=themissiontod-20,,$25
14,Systematic Theology,Horton Michael,The Christian Faith,A Systematic Theology for Pilgrims on the Way,Contemporary Reformed systematic theology - accessible and thorough,0310286042,https://www.amazon.com/dp/0310286042?tag=themissiontod-20,https://www.amazon.com/dp/B004W61BNO?tag=themissiontod-20,,$55
15,Missiology,Ott Craig & Strauss Stephen J. & Tennent Timothy C.,Encountering Theology of Mission,Biblical Foundations Strategic Perspectives and Current Issues,Comprehensive theology of mission textbook,0801026423,https://www.amazon.com/dp/0801026423?tag=themissiontod-20,https://www.amazon.com/dp/B00BJU9BME?tag=themissiontod-20,,$45
16,Hermeneutics,Vanhoozer Kevin J.,Is There a Meaning in This Text?,The Bible the Reader and the Morality of Literary Knowledge,Advanced hermeneutics - philosophical foundations,0310230284,https://www.amazon.com/dp/0310230284?tag=themissiontod-20,https://www.amazon.com/dp/B003XRELGE?tag=themissiontod-20,,$35
17,Missiology,Priest Robert J. & Howell Brian M.,Effective Engagement in Short-Term Missions,Doing It Right,Essential guide for understanding short-term missions,1610977475,https://www.amazon.com/dp/1610977475?tag=themissiontod-20,,,$25
18,Systematic Theology,Frame John M.,Systematic Theology,An Introduction to Christian Belief,Triperspectival systematic theology - unique perspective,0875525555,https://www.amazon.com/dp/0875525555?tag=themissiontod-20,https://www.amazon.com/dp/B004HO5BLE?tag=themissiontod-20,,$50
19,Missiology,Winter Ralph D. & Hawthorne Steven C.,Perspectives on the World Christian Movement,A Reader,Essential missions reader - comprehensive overview of mission movement,0878083952,https://www.amazon.com/dp/0878083952?tag=themissiontod-20,,,$45
20,Hermeneutics,Thiselton Anthony C.,Hermeneutics,An Introduction,Accessible introduction to hermeneutical theory and practice,0802864872,https://www.amazon.com/dp/0802864872?tag=themissiontod-20,https://www.amazon.com/dp/B004IEA79K?tag=themissiontod-20,,$30
21,Missiology,Elmer Duane,Cross-Cultural Connections,Stepping Out and Fitting In Around the World,Practical guide to cross-cultural relationships and ministry,0830838201,https://www.amazon.com/dp/0830838201?tag=themissiontod-20,https://www.amazon.com/dp/B003XRELJM?tag=themissiontod-20,,$20
22,Missiology,Lingenfelter Sherwood G. & Mayers Marvin K.,Ministering Cross-Culturally,An Incarnational Model for Personal Relationships,Understanding cultural values for effective ministry,0801026067,https://www.amazon.com/dp/0801026067?tag=themissiontod-20,https://www.amazon.com/dp/B00DDUZ8HA?tag=themissiontod-20,,$25
23,Systematic Theology,Reymond Robert L.,A New Systematic Theology of the Christian Faith,Second Edition,Comprehensive Reformed systematic theology,0785252509,https://www.amazon.com/dp/0785252509?tag=themissiontod-20,,,$60
24,Missiology,Hesselgrave David J.,Communicating Christ Cross-Culturally,An Introduction to Missionary Communication,Essential guide to cross-cultural communication of the Gospel,0310369614,https://www.amazon.com/dp/0310369614?tag=themissiontod-20,,,$35
25,Hermeneutics,Poythress Vern S.,Reading the Word of God in the Presence of God,A Handbook for Biblical Interpretation,Theologically rich approach to hermeneutics,1433532476,https://www.amazon.com/dp/1433532476?tag=themissiontod-20,https://www.amazon.com/dp/B00K0MMYR0?tag=themissiontod-20,,$25
26,Missiology,Piper John,Let the Nations Be Glad!,The Supremacy of God in Missions,Theological foundation for missions from God's glory perspective,0801018005,https://www.amazon.com/dp/0801018005?tag=themissiontod-20,https://www.amazon.com/dp/B003XRELJC?tag=themissiontod-20,,$20
27,Missiology,Pierson Paul E.,The Dynamics of Christian Mission,History Through a Missiological Perspective,History of missions from missiological viewpoint,1597528056,https://www.amazon.com/dp/1597528056?tag=themissiontod-20,,,$30
28,Systematic Theology,Letham Robert,Systematic Theology,,Contemporary systematic theology - clear and comprehensive,1433532719,https://www.amazon.com/dp/1433532719?tag=themissiontod-20,https://www.amazon.com/dp/B07QR2B15P?tag=themissiontod-20,,$55
29,Missiology,Parshall Phil,Muslim Evangelism,Contemporary Approaches to Contextualization,Essential guide for evangelism in Muslim contexts,0878083278,https://www.amazon.com/dp/0878083278?tag=themissiontod-20,,,$20
30,Missiology,Love Rick,Muslims Magicians and the Kingdom of God,Frontier Mission Among Folk Muslims,Understanding and reaching folk Islam practitioners,1887943935,https://www.amazon.com/dp/1887943935?tag=themissiontod-20,,,$18
31,Hermeneutics,Doriani Daniel M.,Getting the Message,A Plan for Interpreting and Applying the Bible,Practical guide from text to application,0875526675,https://www.amazon.com/dp/0875526675?tag=themissiontod-20,,,$20
32,Missiology,Moreau A. Scott & Corwin Gary R. & McGee Gary B.,Introducing World Missions,A Biblical Historical and Practical Survey,Comprehensive missions textbook - good overview,0801026431,https://www.amazon.com/dp/0801026431?tag=themissiontod-20,,,$40
