AuthorLast,AuthorInit,Title,Subtitle,CoverLink,TOCLink,AmazonHardback,AmazonPaperback,AmazonKindle
James,Dr. T,Presuppositions,Recovering the Biblical Worldview of God's Redemptive Plan,james-dr-tim-covers-csv/james-dr-tim-presuppositions-9798282544145.jpg,james-dr-tim-covers-csv/Presuppositions-TOC.pdf,,https://www.amazon.com/gp/product/B0FB9KWYFL/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FB9KWYFL&linkCode=as2&tag=themissiontod-20,https://www.amazon.com/gp/product/B0F8PKLNDD/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0F8PKLNDD&linkCode=as2&tag=themissiontod-20

James,Dr. T,Tree of Life,Symbol of God's Spirit in Eden, Paradise, and the New Jerusalem,james-dr-tim-covers-csv/james-dr-tim-tree-of-life-8285942238.jpg,james-dr-tim-covers-csv/Tree of Life-TOC.pdf,,https://www.amazon.com/gp/product/B0FBKDKRZM/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FBKDKRZM&linkCode=as2&tag=themissiontod-20,https://www.amazon.com/gp/product/B0FB8GP9JG/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FB8GP9JG&linkCode=as2&tag=themissiontod-20
James,Dr. T,God’s Whispers,The Prophets on How the New Age Begins,james-dr-tim-covers-csv/james-dr-tim-gods-whispers-8290235202.jpg,james-dr-tim-covers-csv/Gods Whispers-TOC.pdf,,https://www.amazon.com/gp/product/B0FGDHJLSZ/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FGDHJLSZ&linkCode=as2&tag=themissiontod-20,https://www.amazon.com/gp/product/B0FG7BK5N1/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FG7BK5N1&linkCode=as2&tag=themissiontod-20
James,Dr. T,The Day of the Lord Vol 1,The Day Heaven Comes to Earth,james-dr-tim-covers-csv/james-dr-tim-day-of-the-lord-v1-8298090179.jpg,james-dr-tim-covers-csv/The Day of the Lord Vol 1-TOC.pdf,,https://www.amazon.com/gp/product/B0FMP78SY3/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FMP78SY3&linkCode=as2&tag=themissiontod-20,https://www.amazon.com/gp/product/B0FMJ7S9Y8/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FMJ7S9Y8&linkCode=as2&tag=themissiontod-20
James,Dr. T,The Day of the Lord Vol 2,The Book of Revelation,james-dr-tim-covers-csv/james-dr-tim-day-of-the-lord-v2-8263713393.jpg,james-dr-tim-covers-csv/The Day of the Lord Vol 2-TOC.pdf,,https://www.amazon.com/gp/product/B0FPRLC8SJ/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FPRLC8SJ&linkCode=as2&tag=themissiontod-20,https://www.amazon.com/gp/product/B0FPLSWL3W/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0FPLSWL3W&linkCode=as2&tag=themissiontod-20























