AuthorLast,AuthorInitial,Title,Subtitle,HardLink,PaperLink,KindleLink

Adeney,FS,Graceful Evangelism (2010),Christian Witness in a Complex World,Sensitive approach to evangelism in pluralistic contexts,0801031850,9780801031854 P,B004D39PEM, K

Adeney,M,Kingdom Without Borders,The Untold Story of Global Christianity,Stories of global Christian mission and movements. This is a book that coaxes us out of our comfortable lives. It beckons us to expand our vision and experience of the possibilities and promise of a faith that continues to shape lives, communities and nations.,083083849X,9780830838493 P,B0FHT75TV7 K

Allen,R,Missionary Methods: St. Paul's or Ours? (2019). If you plan to indoctrinate God's people according to your denomination's mandates, think again!,0359738591,9780359738595 H,198529074X P,B0CJLKJ7NX K

Conn Harvie M. & Ortiz Manuel,Urban Ministry (2010),The Kingdom the City and the People of God,Essential guide for urban cross-cultural ministry,0830838708,9780830838707 P,B0F58HXWC1 K

Elmer Duane,Cross-Cultural Connections (2002),Stepping Out and Fitting In Around the World,Practical guide to cross-cultural relationships and ministry. Elmer provides a compass for navigating through different cultures. He shows us how to avoid pitfalls and cultural faux pas, as well as how to make the most of opportunities to build cross-cultural relationships.,0830823093,9780830823093 P,B0028N5U8E K

Escobar Samuel,The New Global Mission (2013),The Gospel from Everywhere to Everyone,Understanding mission from the Majority World perspective. Samuel Escobar, the dean of Latin American Protestant Evangelical missiologists, gives us here an insightful, careful, concise and passionate overview of the complex and constantly changing reality facing us all in the church's mission today. Two-thirds of all Christians now live in Asia, Africa and Latin America. This means that the church's mission is now a truly global enterprise.,0830833013,9780830833016 P,B00EQW6JNU K

Garrison David,Inside Church Planting Movements,What 25 Years of Assessments Reveal,David Garrison (PhD, University of Chicago) set out to answer these questions by analyzing twenty-five years of onsite assessments of Church Planting Movements conducted by the Global Research Department of the Southern Baptist International Mission Board.,1939124255 P,B0FVK2Y5J8 K

Hesselgrave David J.,Communicating Christ Cross-Culturally (1991),An Introduction to Missionary Communication,Essential guide to cross-cultural communication of the Gospel. The revisions in this new edition are extensive and carry on the high level of discussion maintained throughout the original edition.,0310368111,9780310368113 P

Hiebert Paul G.,Anthropological Insights for Missionaries (1986),,Essential cultural anthropology for cross-cultural ministry. How to better understand the people they serve and their historical and cultural settings.,0801042917 P,B002FL3T0A K

Jenkins Philip,The Next Christendom,The Coming of Global Christianity,Understanding the shift in global Christianity,0199767467 P,B005FVPEVY K

Lingenfelter Sherwood G. & Mayers Marvin K.,Ministering Cross-Culturally 3rd Edition (2016),An Incarnational Model for Personal Relationships,Understanding cultural values for effective ministry,0801097479 P,B012H10DCY K

Livermore David A.,Cultural Intelligence (2009),Improving Your CQ to Engage Our Multicultural World,Developing cultural intelligence for effective ministry.,0801035899 P,B0090OHAEQ K

Mandryk Jason,Operation World (2010),The Definitive Prayer Guide to Every Nation,Essential reference for understanding global missions - prayer guide,0830857249 P,B00QKKJ96K K

Newbigin Lesslie,The Gospel in a Pluralist Society (1989),,What is the Christian message in a society marked by religious pluralism, ethnic diversity, and cultural relativism?,0802804268 P,B08L9WBZ33 K

Ott Craig & Strauss Stephen J. & Tennent Timothy C.,Encountering Theology of Mission,Biblical Foundations Strategic Perspectives and Current Issues,Comprehensive theology of mission textbook,0801026628 P,B007KO80YC K

Parshall Phil,Muslim Evangelism (2003),Contemporary Approaches to Contextualization,Essential guide for evangelism in Muslim contexts.,1884543790 P,B00ATZER2S K

Pierson Paul E.,The Dynamics of Christian Mission (2009),History Through a Missiological Perspective,History of missions from a missiological viewpoint,0865850062 P,B0029ZAP36 K

Piper John,Let the Nations Be Glad!,The Supremacy of God in Missions,Theological foundation for missions from God's glory perspective,1844745015 P,B088VQRJ4T K

Pocock Michael & Van Rheenen Gailyn & McConnell Douglas,The Changing Face of World Missions (2005),Engaging Contemporary Issues and Trends,Contemporary issues in global missions,080102661X P,B007KO2JL2 K

Priest Robert J. & Howell Brian M.,Effective Engagement in Short-Term Missions (2008),Doing It Right,Essential guide for understanding short-term missions,1645084930 P,B09WH9MSCJ K

Richardson Don,Peace Child (1974),,Classic missionary biography - contextualization in action. In 1962, Don and Carol Richardson risked their lives to share the gospel with the Sawi people of New Guinea.,0830704051 H,0764215612 P,B00LA9G8HY K

Richardson Don,Eternity in Their Hearts (1981),Startling Evidence of Belief in the One True God in Hundreds of Cultures,Demonstrates God's preparation of peoples for the Gospel,B00390G3RC H,0764215582 P,B00LA9G720 K

Shaw,R,

Smith Alex G.,Buddhists Christians and the Gospel,Outreach to Buddhists,Understanding and reaching Buddhist contexts,

Steffen Tom A. & Barnett Mike,Business as Mission,From Impoverished to Empowered,Understanding tentmaking and business as mission,087808388X P, B09WH9F35G K

Tennent Timothy C.,Invitation to World Missions,A Trinitarian Missiology for the Twenty-first Century,Theological foundations for contemporary missions,0825438837 H,B005K7JZU4 K

Winter Ralph D. & Hawthorne Steven C.,Perspectives on the World Christian Movement 4th Edition,A Reader,Essential missions reader - comprehensive overview of mission movement,0878083901 P,B09WHF4C3Q K








