AuthorLast,AuthorInitial,Title,Subtitle,Why Essential,Amazon ASIN,Paperback Link,Kindle Link,Hardback Link,Estimated Price

Bavinck,H,Reformed Dogmatics (2011): Prolegomena,,A comprehensive four-volume systematic theology that stands as a monumental work in the Reformed tradition that was originally published in Dutch between 1895 and 1901.,0801036488,9780801036484 H,B0FKKYNFD1 K

Berkhof,L,Systematic Theology (2021),Berkhof was the author of some twenty-two books, including his magnum opus, Systematic Theology, first published in 1934.D.1957.,1848719949,9781848719941 H

Demarest-Feinberg,The Cross and Salvation (1997),The Doctrine of Salvation (2006),1581348126,9781581348125 H,0891079378,9780891079378 P,B002A1ZYZI,978de1433507946 K

Erickson,MJ,Christian Theology,Third Edition (2013),Academic systematic theology - more scholarly than Grudem,0801036437,9780801036439 H,B00EVSB3NK,9781441241368 K

Frame,JM,Systematic Theology,An Introduction to Christian Belief,Triperspectival systematic theology - unique perspective,0801036437,9780801036439 H,B00EVSB3NK,9781441241368 K

Grudem,W,Systematic Theology 2nd Edition Pack Bundle,031011988X,9780310119883 B

Grudem,W,Systematic Theology,An Introduction to Biblical Doctrine,THE standard evangelical systematic theology - absolutely essential for comprehensive doctrine,0310517974,9780310517979 H,B085XNN5H1,9780310517993 K,B086LFMX1J A

Grudem,W,Bible Doctrine 2022),Essential Teachings of the Christian Faith,Condensed version of Systematic Theology - more accessible,,$30,0310124301,9780310124306 H,B09HNN9YX6,9780310124313 K

Hoekema,AA,Created in God's Image (1999),,Theological anthropology - essential for understanding humanity,B0FNVDT8LS,

Letham,R,Systematic Theology (2019),,Contemporary systematic theology - clear and comprehensive,1433541300,9781433541308 H,B081TGDTRC,9781433541322 K

Reymond,RL,A New Systematic Theology of the Christian Faith,Second Edition,Comprehensive Reformed systematic theology,0310108950,9780310108955 H,B003QMLHD8,9781418586805 K






